ID,Pages,Test,Domain,Skill,Source_PDF
b31c3117,35,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-medium.pdf
f09097b1,36,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-medium.pdf
c5082ce3,37,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-medium.pdf
c651cc56,38,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-medium.pdf
c22b5f25,39,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-medium.pdf
6cb9bf45,40,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-medium.pdf
11e1ab81,41,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-medium.pdf
df78b361,42,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-medium.pdf
4fe4fd7c,43,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-medium.pdf
0d1b1e35,44,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-medium.pdf
620abf36,45,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-medium.pdf
d62ad380,46,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-medium.pdf
23dedddd,47,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-medium.pdf
a91a2b75,48,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-medium.pdf
4f669597,49,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-medium.pdf
431c3038,50,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-medium.pdf
e336a1d2,51,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-medium.pdf
c0586eb5,52,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-medium.pdf
03c6994f,53,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-medium.pdf
151eda3c,54,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-medium.pdf
5a7e3b46,55,Math,Geometry and Trigonometry,Right triangles and trigonometry,./dedup/dedup-math-excluded-medium.pdf
a2659088,56,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-medium.pdf
38517165,57,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-medium.pdf
8e7689e0,58,Math,Geometry and Trigonometry,Circles,./dedup/dedup-math-excluded-medium.pdf
de550be0,59,Math,Geometry and Trigonometry,Right triangles and trigonometry,./dedup/dedup-math-excluded-medium.pdf
800e71b8,60,Math,Geometry and Trigonometry,Circles,./dedup/dedup-math-excluded-medium.pdf
fc8aa563,61,Math,Geometry and Trigonometry,Circles,./dedup/dedup-math-excluded-medium.pdf
74d8b897,62,Math,Geometry and Trigonometry,Circles,./dedup/dedup-math-excluded-medium.pdf
ee540927,63,Math,Geometry and Trigonometry,Circles,./dedup/dedup-math-excluded-medium.pdf
a0cacec1,64,Math,Geometry and Trigonometry,Circles,./dedup/dedup-math-excluded-medium.pdf
2d521ca9,65,Math,Geometry and Trigonometry,Circles,./dedup/dedup-math-excluded-medium.pdf
e9c5bfb2,66,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-medium.pdf
856372ca,67,Math,Geometry and Trigonometry,Circles,./dedup/dedup-math-excluded-medium.pdf
9c0a0eca,68,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-medium.pdf
bf8d843e,69,Math,Geometry and Trigonometry,Right triangles and trigonometry,./dedup/dedup-math-excluded-medium.pdf
aef4fd8a,70,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-medium.pdf
95ba2d09,71,Math,Geometry and Trigonometry,Circles,./dedup/dedup-math-excluded-medium.pdf
a71617d3,72,Math,Geometry and Trigonometry,Right triangles and trigonometry,./dedup/dedup-math-excluded-medium.pdf
a5aee181,73,Math,Geometry and Trigonometry,Right triangles and trigonometry,./dedup/dedup-math-excluded-medium.pdf
13d9a1c3,74,Math,Geometry and Trigonometry,Right triangles and trigonometry,./dedup/dedup-math-excluded-medium.pdf
a2e76b60,75,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-medium.pdf
468613c0,76,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-medium.pdf
37dde49f,77,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-medium.pdf
82c8325f,78,Math,Geometry and Trigonometry,Circles,./dedup/dedup-math-excluded-medium.pdf
cf53cb56,79,Math,Geometry and Trigonometry,Area and volume,./dedup/dedup-math-excluded-medium.pdf
b96ff36e,80,Math,Geometry and Trigonometry,Circles,./dedup/dedup-math-excluded-medium.pdf
ac472881,1,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-hard.pdf
d1b66ae6,2,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
3cdbf026,3,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-hard.pdf
